num,tweet,Colere,Degout,Peur,Mefiance,Tristesse,Surprise,Ironie,Neutre
0,Rouen en TT monde GG! 🤣 #Rouen #Lubrizol #Tchernobyl https://t.co/lXsuX6SkD0,0.111,0.05566666666666667,0.0,0.0,0.0,0.0,0.16666666666666666,0.3333333333333333
1,"Un véritable scandale est #EnMarche et vous feriez bien de le faire savoir autour de vous avant qu'un #Lubrizol ne vienne s'installer au fond de votre jardin ou devant votre immeuble ! 
#Castex #Macron #Environnement #nature https://t.co/5H4v0WAQIb",0.6113333333333334,0.16666666666666666,0.111,0.111,0.0,0.0,0.0,0.0
2,"@EmmanuelMacron @Elisabeth_Borne Manu t'as vu 
Le nettoyage de la Seine après l'incendie #Lubrizol 

L'écologie en Macronnie ! 
https://t.co/Q9oDDBibFo",0.2776666666666667,0.16666666666666666,0.0,0.0,0.0,0.0,0.5556666666666666,0.0
3,✌🏻entrain de m'embrouiller avec un putain sur un groupe de sur ma ville parce que l'usine lubrizol où j'habite à 100m pue la mort depuis l'incendie et du coup ça saoule parce que clairement pour la santé c'est genre vrmt pas la folie ihi✌🏻,0.5556666666666666,0.2776666666666667,0.111,0.0,0.05566666666666667,0.0,0.0,0.0
4,"Rouen est la confirmation que M. Warren Buffett, propriétaire de Lubrizol, dit vrai lorsqu’il affirme qu’il y a bien une guerre des classes et qu’elle a été gagnée par... https://t.co/FNWIp4pA96",0.0,0.111,0.0,0.22233333333333336,0.0,0.111,0.22233333333333336,0.0
5,Une mise à jour du site va être nécessaire... #rouen #Lubrizol https://t.co/a251y1OlxP,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333
6,"@AtmoHdF A quand le véhicule d'intervention rapide ?
permettant d'analyser en live tous les polluants émis lors d'accident , de fumées tjrs toxiques 
ex ##lubrizol,  GDE à #Saintnazaire, #total à Gonfreville, 
Air Liquide à #Douai",0.0,0.0,0.0,0.111,0.0,0.0,0.0,0.8889999999999999
7,"Et c'est vrai qu'il s'agisse d'une catastrophe industrielle #lubrizol, de mouvements sociaux comme celui des #giletsjaunes, d'une épidémie #COVID19france, d'#attentats #islamistes. #Macron ne sait apparemment pas s'entourer (Darmanin après Castaner!)... https://t.co/BUk134zR4b",0.22233333333333336,0.0,0.0,0.3333333333333333,0.0,0.111,0.0,0.0
8,"Il y a un an, mon compagnon me réveillait en sursaut en me disant que #Rouen brûlait. En sortant de chez nous, on a découvert cet énorme panache de fumée qui passait au dessus de nos têtes. Il y a encore beaucoup de questions sans réponses. #Lubrizol https://t.co/Kq0fVog5II",0.0,0.0,0.3333333333333333,0.16666666666666666,0.111,0.0,0.0,0.389
9,"#NMR il fait très peur ce Mec , aujourd'hui #Lubrizol  , demain quelle autre usine ? Les chômeurs serrer les fesses ! #rouen",0.22233333333333336,0.111,0.389,0.2776666666666667,0.0,0.0,0.0,0.0
10,à Rouen on a choisi l'option Lubrizol https://t.co/27sFkQbnho,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0
11,@MFrippon @Elisa15000 LUBRIZOL est la propriété d'un des plus énormes fonds financiers au monde! Un scandale écologique effondrerait le cours de ses actions... Laissons crever les gens. https://t.co/h1zLzUhEuC,0.4443333333333333,0.3333333333333333,0.0,0.22233333333333336,0.0,0.0,0.0,0.0
13,"@Popaul_76 après c'est moindre par rapport à Lubrizol mais quand même, va réellement falloir prendre des mesures au bout d'un moment, ça fait 2 fois à Rouen en 6 mois",0.778,0.222,0.0,0.0,0.0,0.0,0.0,0.0
14,"J'avoue avoir ri.
#Rouen #Lubrizol https://t.co/wogIhrub6t",0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
15,"Pdt plusieurs mois @FloraSauvage a suivi la commission d’enquête du Sénat sur la catastrophe de #Lubrizol. Entre absence de transparence et conflits d'intérêts, le constat est accablant pour la sécurité industrielle en 🇫🇷. A voir ce soir sur @publicsenat , montage @SimonFrancois_ https://t.co/2PJ00H51PO",0.22233333333333336,0.0,0.0,0.111,0.0,0.0,0.0,0.3333333333333333
16,Il est où l’album?? ⏱ #playboicarti #Lubrizol #KanyeWest https://t.co/L26RaFGmwG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666
